,return
2020-06-25,-0.17194262847569064
2020-06-26,0.604993670538887
2020-06-29,-0.21653749981895132
2020-06-30,-0.051402268529546546
2020-07-01,-0.11622926818253099
2020-07-02,0.398842471777785
2020-07-06,0.023000077186987156
2020-07-07,0.61560169291349
2020-07-08,-0.12985211900134352
2020-07-09,-0.3497168841143683
2020-07-10,-0.06223871491498301
2020-07-13,0.2263560506972393
2020-07-14,0.315665753095983
2020-07-15,0.4150665548227348
2020-07-16,-0.0742507251841733
2020-07-17,0.586771781832363
2020-07-20,-0.014030786690890196
2020-07-21,-0.02840793996409019
2020-07-22,-0.3471567128687081
2020-07-23,-0.013565047023506693
2020-07-24,-0.008075121155627585
2020-07-27,0.5243857593893377
2020-07-28,-0.2561471598381644
2020-07-29,-0.2356767348393749
2020-07-30,0.006591647232870201
2020-07-31,-0.1372799397349329
2020-08-03,-0.3174441597199582
2020-08-04,-0.33918496525394026
2020-08-05,-0.3401853009849507
2020-08-06,-0.30911226871811515
2020-08-07,-0.32596893523414394
2020-08-10,0.42052606730572073
2020-08-11,0.3832625815201638
2020-08-12,0.42895806237839906
2020-08-13,0.4213065660839632
2020-08-14,-0.3423718760737131
2020-08-17,-0.29243033766482185
2020-08-18,0.04837574843853076
2020-08-19,0.40942155751568166
2020-08-20,-0.3356984158305778
2020-08-21,0.4419745388693759
2020-08-24,-0.34304320443073877
2020-08-25,-0.3300177448665238
2020-08-26,-0.31093334890963575
2020-08-27,-0.4146686245866338
2020-08-28,0.5199027479297378
2020-08-31,-0.30498092277525934
2020-09-01,-0.27451552867361073
2020-09-02,-0.2654322098668267
2020-09-03,-0.331309727889467
2020-09-04,-0.35245372849411183
2020-09-08,-0.39193085295787
2020-09-09,0.4261106978505218
2020-09-10,0.39601827877350537
2020-09-11,0.4089517070319939
2020-09-14,-0.45728961728996254
2020-09-15,-0.20832916396918044
2020-09-16,-0.38688639185941653
2020-09-17,-0.4025546468814163
2020-09-18,0.3669381329066965
2020-09-21,-0.35666384291885933
2020-09-22,-0.33397949010960026
2020-09-23,-0.3578887722683728
2020-09-24,-0.35045043517931695
2020-09-25,-0.3154401594140399
2020-09-28,0.004587185377268099
2020-09-29,-0.010111967537472566
2020-09-30,0.42294458568419024
2020-10-01,0.6548115080458778
2020-10-02,0.6075785166658463
2020-10-05,0.41180740592808895
2020-10-06,0.5372808953982702
2020-10-07,0.42569526600188823
2020-10-08,-0.09857761069105031
2020-10-09,-0.08581645566734153
2020-10-12,0.658668291350283
2020-10-13,0.6536203187515195
2020-10-14,0.05810671874235851
2020-10-15,0.054335405802838466
2020-10-16,0.6127828259200623
2020-10-19,-0.10041632959301694
2020-10-20,0.598527954260712
2020-10-21,0.6093422533652202
2020-10-22,0.014199624043834902
2020-10-23,0.608617651360726
2020-10-26,0.4010596079823756
2020-10-27,0.418860766335758
2020-10-28,0.004409795062560562
2020-10-29,0.0022004780985742656
2020-10-30,0.6315548620994509
2020-11-02,0.08951355985811382
2020-11-03,0.10632024872944967
2020-11-04,0.15982212731135448
2020-11-05,0.17606554707544753
2020-11-06,0.7560313726441752
2020-11-09,0.14027854436768727
2020-11-10,-0.1388898879562106
2020-11-11,-0.11866820540848089
2020-11-12,0.13789476723135152
2020-11-16,0.4955460294446503
2020-11-17,0.7112274918498365
2020-11-18,0.07180049772631314
2020-11-19,0.0848789832281529
2020-11-20,0.21192209251287153
2020-11-23,0.039674693583927834
2020-11-24,0.6561965636458016
2020-11-25,0.06482995813409431
2020-11-27,0.6766405141325915
2020-11-30,0.25217336694881176
2021-01-04,-0.12051546634974564
2021-01-05,-0.17594574511251615
2021-01-06,-0.023655438094811743
2021-01-07,-0.11566847571038252
2021-01-08,0.5326936005036558
2021-01-11,-0.13201692506325813
2021-01-13,-0.12426579904029467
2021-01-14,-0.10418633746973427
2021-01-15,-0.45911814919020166
2021-01-19,0.705605495974595
2021-01-20,-0.23958060535549386
2021-01-21,-0.24203096912779642
2021-01-22,-0.10774274177664545
2021-01-25,-0.06596128605725049
2021-01-26,-0.06815474998992421
2021-01-27,0.010155212738439445
2021-01-28,0.6757460020736321
2021-01-29,0.08035811525655312
2021-02-01,0.12038671506237897
2021-02-02,-0.16127337356509308
2021-02-03,0.8599399294524943
2021-02-04,0.10772128432788897
2021-02-05,0.5648625208947653
2021-02-08,-0.002693202592755739
2021-02-09,0.8795002705669361
2021-02-10,0.25397581062789065
2021-02-11,0.11314353332750038
2021-02-12,0.06777273394974515
2021-02-16,-0.03545760215985361
2021-02-17,-0.022156309542946673
2021-02-18,-0.31189993225033774
2021-02-19,0.2886226685048978
2021-02-22,0.5234823311763748
2021-02-23,0.7974739959807398
2021-02-24,0.2469111131524464
2021-02-25,-0.21634386974672815
2021-02-26,0.6196786402550352
2021-03-01,-0.19778915516523732
2021-03-02,0.5272418061479218
2021-03-03,0.08173707963698185
2021-03-04,0.5110059710592356
2021-03-05,0.3250173781799859
2021-03-08,0.49316196523488287
2021-03-09,0.002515215335705534
2021-03-10,0.08776108815617256
2021-03-11,0.09226428384807761
2021-03-12,0.03970288356459761
2021-03-15,0.09022483046851093
2021-03-16,0.7672119806135846
2021-03-17,0.653689443765634
2021-03-18,0.7250243834901315
2021-03-19,0.07893767122410189
2021-03-22,0.16422899957055215
2021-03-23,0.5724771950756278
2021-03-24,0.14628093025477895
2021-03-25,0.31326951032912653
2021-03-26,-0.28093604452132936
2021-03-29,0.5941542936217026
2021-03-30,0.13649456069499522
2021-03-31,0.14849489023965567
2021-04-01,-0.2139939326905118
2021-04-05,0.852233271870773
2021-04-06,-0.1704535456110392
2021-04-07,0.29712370978479186
2021-04-08,0.6111158913461967
2021-04-09,0.09239282086928569
2021-04-12,0.6241897446326199
2021-04-13,0.8346615925595913
2021-04-14,0.26465729657586223
2021-04-15,0.6019944546329512
2021-04-16,0.11779079278504945
2021-04-19,0.1069391163078297
2021-04-20,0.8823523505278867
2021-04-21,0.35629396805343205
2021-04-22,0.6007453860356016
2021-04-23,0.3379011607740434
2021-04-26,0.4046720094328897
2021-04-27,0.8979866045531502
2021-04-28,0.6039593635848117
2021-04-29,0.03830524142325764
2021-04-30,0.8613699834639554
2021-05-03,-0.02175176606437823
2021-05-04,-0.039364522862740614
2021-05-05,0.351261722743903
2021-05-06,-0.2684748963455892
2021-05-07,-0.2827080193239677
2021-05-10,0.4340858256717315
2021-05-11,0.4179713458695069
2021-05-12,0.12204188810230221
2021-05-13,0.5863271367746812
2021-05-14,0.0029264517897438225
2021-05-17,0.6691758462740118
2021-05-18,0.6397895388563484
2021-05-19,0.6606831138637137
2021-05-20,-0.2616387769220285
2021-05-21,-0.2889451448544751
2021-05-24,0.48906518041028413
2021-05-25,0.21611788038570978
2021-05-26,0.794472334457101
2021-05-27,-0.31718648487757584
2021-05-28,0.06565391221172234
2021-06-01,0.2782725882573267
2021-06-02,0.3223222522344873
2021-06-03,0.6722035704839868
2021-06-04,0.01838411174225385
2021-06-07,0.6270573779930313
2021-06-08,0.7613659583631733
2021-06-09,0.6464888938513162
2021-06-10,-0.25149440739170714
2021-06-11,-0.2541835658644285
2021-06-14,-0.23880272869527985
2021-06-15,0.3956655476822064
2021-06-16,-0.27684883255818704
2021-06-17,-0.2622556057399059
2021-06-18,0.7067937046835002
2021-06-21,0.4617632504583984
